Price,BHK,beds,baths,balcony,covered-parking,Carpet Area,Developer,Project,Floor,Transaction type,Status,Lifts,Address,Furnishing,Flooring,Water Availability,Status of Electricity
₹5.32 Cr,3,3Beds,3Baths,3Balconies,2 Covered Parking,2206,TARC The Anant Raj Corporation,TARC Tripundra,3 (Out of 3 Floors),New Property,,2.0,"Bijwasan, New Delhi, Bijwasan, New Delhi - South, Delhi NCR",Semi-Furnished,Vitrified,24 Hours Available,No/Rare Powercut
₹2.10 Cr,3,3Beds,3Baths,2Balconies,1 Covered Parking,1250,,,2 (Out of 4 Floors),Resale,Ready to Move,,"New Delhi, Paschim Vihar Block A2, New Delhi - West, Delhi NCR",Semi-Furnished,"Wooden, Marble",24 Hours Available,No/Rare Powercut
₹3.15 Cr,3,3Beds,3Baths,2Balconies,,1650,,Rwa GK 1,2 (Out of 4 Floors),Resale,Ready to Move,,"greater kailash 1, GK I, New Delhi - South, Delhi NCR",Unfurnished,"Marble, Marbonite",,
₹1.74 Cr,3,3Beds,2Baths,1Balcony,,1500,,,Ground (Out of 7 Floors),Resale,Ready to Move,,"sector 7 Dwarka, Sector 7 Dwarka, New Delhi - Dwarka, Delhi NCR",Semi-Furnished,Vitrified,24 Hours Available,No/Rare Powercut
₹2.10 Cr,3,3Beds,3Baths,4Balconies,1 Covered Parking,1620,Cooperative Group Housing Society,NTPC Apartment,2 (Out of 10 Floors),Resale,Ready to Move,2.0,"Dwarka Sector 19 New Delhi, Sector 19 Dwarka, New Delhi - Dwarka, Delhi NCR",Semi-Furnished,Marble,24 Hours Available,No/Rare Powercut
₹4.85 Cr,3,3Beds,3Baths,3Balconies,2 Covered Parking,265sqyrd,Cooperative Group Housing Society,New Friends Colony Floors,3 (Out of 4 Floors),Resale,Ready to Move,,"New Friends Colony, New Friends Colony, New Delhi - South, Delhi NCR",Semi-Furnished,"Ceramic Tiles, Granite, Marble, Marbonite, Normal Tiles/Kotah Stone, Vitrified, Wooden",24 Hours Available,No/Rare Powercut
₹1.87 Cr,3,3Beds,3Baths,4Balconies,1 Covered Parking,1450,Cooperative Group Housing Society,Satyam Apartment,2 (Out of 10 Floors),Resale,Ready to Move,2.0,"Dwarka Sector 18A, New Delhi, Sector 18A Dwarka, New Delhi - Dwarka, Delhi NCR",Semi-Furnished,Normal Tiles/Kotah Stone,24 Hours Available,No/Rare Powercut
₹24.5 Lac,2,2Beds,2Baths,1Balcony,1 Covered Parking,620,,,1 (Out of 4 Floors),New Property,Ready to Move,,"new delhi, Dwarka Mor, New Delhi - West, Delhi NCR",Furnished,Vitrified,24 Hours Available,No/Rare Powercut
₹1.95 Cr,3,3Beds,2Baths,3Balconies,2 Covered Parking,1600,Cooperative Group Housing Society,Green Heavens Apartment,6 (Out of 8 Floors),Resale,Ready to Move,2.0,"Dwarka, Sector 4 Dwarka, New Delhi - Dwarka, Delhi NCR",Furnished,Marble,24 Hours Available,No/Rare Powercut
₹1.73 Cr,3,3Beds,3Baths,1Balcony,,1600,Delhi Development Authority DDA,DDA Flats Sarita Vihar,Ground (Out of 4 Floors),Resale,Ready to Move,,"New Delhi, Sarita Vihar, New Delhi - South, Delhi NCR",Unfurnished,Marble,24 Hours Available,No/Rare Powercut
₹1.92 Cr,3,3Beds,3Baths,2Balconies,1 Covered Parking,1600,,,7 (Out of 10 Floors),Resale,Ready to Move,2.0,"Dwarka Sector 12, New Delhi, Sector 12 Dwarka, New Delhi - Dwarka, Delhi NCR",Furnished,Normal Tiles/Kotah Stone,24 Hours Available,No/Rare Powercut
₹1.59 Cr,3,3Beds,2Baths,2Balconies,,1050,Delhi Development Authority DDA,DDA Flats Munirka,Ground (Out of 3 Floors),Resale,Ready to Move,,"DDA flats Munirka, Munirka, New Delhi - South, Delhi NCR",Semi-Furnished,,,
₹22.5 Lac,2,2Beds,2Baths,,1 Covered Parking,520,,,1 (Out of 4 Floors),New Property,Ready to Move,,"Uttam Nagar, Uttam Nagar, New Delhi - West, Delhi NCR",Semi-Furnished,"Mosaic, Vitrified, Wooden, Ceramic Tiles, Marble",24 Hours Available,No/Rare Powercut
₹1.11 Cr,2,2Beds,2Baths,,,1100,Delhi Development Authority DDA,Suryodaya Apartment DDA Flats Pocket 8,1 (Out of 3 Floors),Resale,Ready to Move,,"Dwarka Sector 12, New Delhi, Dwarka, New Delhi - Dwarka, Delhi NCR",Semi-Furnished,Marble,24 Hours Available,No/Rare Powercut
₹1.75 Cr,3,3Beds,3Baths,3Balconies,1 Covered Parking,1650,Cooperative Group Housing Society,Aastha Kunj,8 (Out of 8 Floors),Resale,Ready to Move,2.0,"Sector 3 Dwarka, Dwarka, New Delhi - Dwarka, Delhi NCR",Semi-Furnished,Ceramic Tiles,24 Hours Available,No/Rare Powercut
₹2.0 Cr,3,3Beds,3Baths,1Balcony,1 Covered Parking,1700,Cooperative Group Housing Society,Kunj Vihar Apartment,9 (Out of 10 Floors),Resale,Ready to Move,2.0,"Sector 12 Dwarka, New Delhi - Dwarka, Delhi NCR",Semi-Furnished,Vitrified,24 Hours Available,No/Rare Powercut
₹30.0 Lac,2,2Beds,2Baths,1Balcony,,75sqyrd,,,4 (Out of 4 Floors),New Property,Ready to Move,,"Govindpuri New Delhi, Govindpuri Main, New Delhi - South, Delhi NCR",Semi-Furnished,"Ceramic Tiles, Vitrified, Wooden",24 Hours Available,No/Rare Powercut
₹1.85 Cr,3,3Beds,2Baths,1Balcony,,1300,Cooperative Group Housing Society,Kailash Milan Vihar CGHS,1 (Out of 7 Floors),Resale,Ready to Move,,"Indraprastha Extension, New Delhi, Indraprastha Extension, New Delhi - East, Delhi NCR",Semi-Furnished,,,
₹1.90 Cr,3,3Beds,3Baths,1Balcony,,1200,Delhi Development Authority DDA,DDA Ekta Apartment,Ground (Out of 3 Floors),New Property,Ready to Move,,"Saket, New Delhi - South, Delhi NCR",Furnished,Ceramic Tiles,24 Hours Available,No/Rare Powercut
₹2.30 Cr,3,3Beds,3Baths,3Balconies,1 Covered Parking,1700,Cooperative Group Housing Society,Janaksar Apartment,3 (Out of 10 Floors),Resale,Ready to Move,2.0,"sector 18 dwarka, Sector 18 Dwarka, New Delhi - Dwarka, Delhi NCR",Unfurnished,Granite,24 Hours Available,No/Rare Powercut
₹21.0 Lac,2,2Beds,2Baths,1Balcony,,530,,,1 (Out of 4 Floors),New Property,Ready to Move,,"dwarka mor, Dwarka Mor, New Delhi - West, Delhi NCR",Unfurnished,,,
₹4.50 Cr,3,3Beds,3Baths,2Balconies,2 Covered Parking,1800,,,2 (Out of 4 Floors),New Property,Ready to Move,,"Green Park, Green Park, New Delhi - South, Delhi NCR",Semi-Furnished,"Marble, Wooden",24 Hours Available,No/Rare Powercut
₹4.50 Cr,3,3Beds,3Baths,2Balconies,,1550,,,1 (Out of 5 Floors),New Property,Ready to Move,,"New Delhi, Green Park, New Delhi - South, Delhi NCR",Unfurnished,"Marble, Granite",,
₹2.25 Cr,3,3Beds,3Baths,3Balconies,1 Covered Parking,1600,Cooperative Group Housing Society,Kanak Durga Apartment,2 (Out of 10 Floors),Resale,Ready to Move,2.0,"Dwarka Sector 12, New Delhi, Sector 12 Dwarka, New Delhi - Dwarka, Delhi NCR",Semi-Furnished,Marble,24 Hours Available,No/Rare Powercut
₹1.85 Cr,3,3Beds,2Baths,3Balconies,,1650,Cooperative Group Housing Society,Aastha Kunj,2 (Out of 7 Floors),Resale,Ready to Move,,"Dwarka, Dwarka, New Delhi - Dwarka, Delhi NCR",Semi-Furnished,,,
₹1.92 Cr,3,3Beds,3Baths,1Balcony,1 Covered Parking,1700,Cooperative Group Housing Society,Shri Agrasen Apartment,5 (Out of 8 Floors),Resale,Ready to Move,2.0,"Dwarka Sector 7, New Delhi, Sector 7 Dwarka, New Delhi - Dwarka, Delhi NCR",Semi-Furnished,Vitrified,24 Hours Available,No/Rare Powercut
₹1.75 Cr,3,3Beds,2Baths,3Balconies,,1550,Cooperative Group Housing Society,Great India Apartment,3 (Out of 5 Floors),Resale,Ready to Move,,"Dwarka Sector 6, New Delhi, Sector 6 Dwarka, New Delhi - Dwarka, Delhi NCR",Unfurnished,,,
₹2.20 Cr,3,3Beds,3Baths,3Balconies,,1800,,Rama Krishna Apartments,Ground (Out of 9 Floors),Resale,Ready to Move,,"Dwarka Sector 23, New Delhi, Sector 23 Dwarka, New Delhi - Dwarka, Delhi NCR",Semi-Furnished,,,
₹1.32 Cr,2,2Beds,2Baths,,,1200,Delhi Development Authority DDA,DDA Flats Sarita Vihar,3 (Out of 3 Floors),Resale,Ready to Move,,"Sarita Vihar, New Delhi, Sarita Vihar, New Delhi - South, Delhi NCR",Semi-Furnished,Mosaic,24 Hours Available,No/Rare Powercut
₹4.50 Cr,3,3Beds,3Baths,2Balconies,1 Covered Parking,1900,Cooperative Group Housing Society,RWA Flats,1 (Out of 4 Floors),New Property,Ready to Move,,"Saket, D Block-Saket, New Delhi - South, Delhi NCR",Semi-Furnished,"Ceramic Tiles, Granite, Normal Tiles/Kotah Stone, Vitrified",24 Hours Available,No/Rare Powercut
₹2.05 Cr,3,3Beds,3Baths,4Balconies,1 Covered Parking,1700,Cooperative Group Housing Society,NPSC Apartment,8 (Out of 10 Floors),Resale,Ready to Move,2.0,"Dwarka Sector 2, New Delhi, Sector 2 Dwarka, New Delhi - Dwarka, Delhi NCR",Semi-Furnished,"Ceramic Tiles, Marble, Vitrified",24 Hours Available,No/Rare Powercut
₹4.50 Cr,3,3Beds,3Baths,1Balcony,1 Covered Parking,1900,,,2 (Out of 4 Floors),Resale,Ready to Move,,"Greater Kailash 2 new delhi., GK II, New Delhi - South, Delhi NCR",Semi-Furnished,"Vitrified, Wooden, Marbonite",24 Hours Available,No/Rare Powercut
₹55.0 Lac,3,3Beds,2Baths,1Balcony,,120sqyrd,,,1 (Out of 5 Floors),New Property,Ready to Move,,"Chattarpur near Zara farm, Chattarpur Extension, New Delhi - South, Delhi NCR",Semi-Furnished,Ceramic Tiles,,
₹4.25 Cr,3,3Beds,3Baths,2Balconies,,1800,,,1 (Out of 4 Floors),Resale,Ready to Move,,"GK I, New Delhi - South, Delhi NCR",Unfurnished,"Wooden, Ceramic Tiles, Marble, Granite",,
₹1.17 Cr,2,2Beds,2Baths,1Balcony,,1150,,Dwarka Dheesh Apts Sfs Flats,1 (Out of 3 Floors),Resale,Ready to Move,,"Pocket 2, Sector 12 Dwarka, Dwarka, Delhi, Sector 12 Dwarka, New Delhi - Dwarka, Delhi NCR",Semi-Furnished,Mosaic,24 Hours Available,No/Rare Powercut
₹1.40 Cr,3,3Beds,2Baths,,,1400,Cooperative Group Housing Society,Rajasthan Apartment,6 (Out of 8 Floors),Resale,Ready to Move,,"Rajasthan Apartment Plotno.36 sector 4 DWarka New Delhi 110078, Sector 4 Dwarka, New Delhi - Dwarka, Delhi NCR",Semi-Furnished,Marble,,
₹3.15 Cr,3,3Beds,2Baths,1Balcony,,1950,Delhi Development Authority DDA,DDA Flats Vasant Kunj,Ground (Out of 3 Floors),Resale,Ready to Move,,"Vasant Kunj, New Delhi, Sector D Vasant Kunj, New Delhi - South, Delhi NCR",Semi-Furnished,Ceramic Tiles,24 Hours Available,No/Rare Powercut
₹1.95 Cr,3,3Beds,2Baths,3Balconies,1 Covered Parking,1600,Cooperative Group Housing Society,CGHS Crescent Apartments,4 (Out of 10 Floors),Resale,Ready to Move,2.0,"Dwarka Sector 18, New Delhi, Sector 18A Dwarka, New Delhi - Dwarka, Delhi NCR",Furnished,"Marble, Vitrified",24 Hours Available,No/Rare Powercut
₹1.60 Cr,3,3Beds,2Baths,2Balconies,,1500,Delhi Development Authority DDA,DDA Metro View Apartments,Ground (Out of 3 Floors),Resale,Ready to Move,,"Sector 13 Dwarka, New Delhi - Dwarka, Delhi NCR",Semi-Furnished,Mosaic,24 Hours Available,No/Rare Powercut
₹2.35 Cr,3,3Beds,4Baths,3Balconies,,1750,,Harmony Appointment,6 (Out of 9 Floors),Resale,Ready to Move,,"dwarka sector 23, Sector 4 Dwarka, New Delhi - Dwarka, Delhi NCR",Semi-Furnished,,,
₹25.0 Lac,2,2Beds,2Baths,,,540,,,1 (Out of 4 Floors),New Property,Ready to Move,,"dwarka mor, Dwarka Mor, New Delhi - West, Delhi NCR",Semi-Furnished,,,
₹1.64 Cr,3,3Beds,2Baths,3Balconies,,1500,Cooperative Group Housing Society,Azad Hind Apartments,6 (Out of 10 Floors),Resale,Ready to Move,2.0,"Flat no. 561, Sector 9 Dwarka, New Delhi - Dwarka, Delhi NCR",Furnished,Marble,24 Hours Available,No/Rare Powercut
₹1.75 Cr,3,3Beds,3Baths,4Balconies,,1570,Cooperative Group Housing Society,Classic Apartment,5 (Out of 7 Floors),Resale,Ready to Move,,"sector 22 dwarka classic Appartment, Sector 22 Dwarka, New Delhi - Dwarka, Delhi NCR",Semi-Furnished,,,
₹1.10 Cr,2,2Beds,2Baths,,,720,,,Ground (Out of 3 Floors),Resale,Ready to Move,,"Janakpuri, New Delhi - West, Delhi NCR",Furnished,"Vitrified, Ceramic Tiles, Marble, Normal Tiles/Kotah Stone",24 Hours Available,No/Rare Powercut
₹4.10 Cr,3,3Beds,3Baths,3Balconies,2 Covered Parking,2000,,,1 (Out of 4 Floors),New Property,Ready to Move,,"Newly Beautiful Park Facing First Floor With Lift, Stilt Car Parking, Panchsheel Enclave, New Delhi - South, Delhi NCR",Semi-Furnished,Marble,24 Hours Available,No/Rare Powercut
₹33.0 Lac,2,2Beds,2Baths,1Balcony,,550,Star Homes,Star Homes,2 (Out of 4 Floors),New Property,Ready to Move,,"Uttam Nagar, New Delhi., Uttam Nagar, New Delhi - West, Delhi NCR",Furnished,"Vitrified, Ceramic Tiles",24 Hours Available,No/Rare Powercut
₹2.70 Cr,3,3Beds,3Baths,3Balconies,2 Covered Parking,1300,DLF Ltd.,DLF Capital Greens 1 and 2,15 (Out of 28 Floors),Resale,Ready to Move,4.0,"Moti Nagar, New Delhi, Moti Nagar, New Delhi - West, Delhi NCR",Furnished,"Ceramic Tiles, Marble, Normal Tiles/Kotah Stone, Granite",24 Hours Available,No/Rare Powercut
₹24.0 Lac,2,2Beds,2Baths,1Balcony,1 Covered Parking,650,,,1 (Out of 4 Floors),New Property,Ready to Move,,"New Delhi, Uttam Nagar West, New Delhi - West, Delhi NCR",Furnished,Vitrified,24 Hours Available,No/Rare Powercut
₹1.30 Cr,3,3Beds,2Baths,1Balcony,1 Covered Parking,1050,,,2 (Out of 4 Floors),New Property,Ready to Move,,"a60, Sector 8 Dwarka, New Delhi - Dwarka, Delhi NCR",Semi-Furnished,Vitrified,24 Hours Available,No/Rare Powercut
₹4.25 Cr,3,3Beds,3Baths,3Balconies,2 Covered Parking,1800,TARC The Anant Raj Corporation,TARC Tripundra,3 (Out of 10 Floors),New Property,,2.0,"Bijwasan Road, Near St. Froebell Senior Secondary School, Bijwasan, New Delhi - 110063, Bijwasan, New Delhi - South, Delhi NCR",Semi-Furnished,"Ceramic Tiles, Granite, Marble, Vitrified, Wooden",24 Hours Available,No/Rare Powercut
₹7.50 Cr,3,3Beds,3Baths,3Balconies,2 Covered Parking,2000,,,Ground (Out of 4 Floors),New Property,Ready to Move,,"Ultra Luxury Brand New Basment And Ground Floor With Lift, seprate Gate 3 Car Parking, wide Road, Safdarjung Enclave, New Delhi - South, Delhi NCR",Semi-Furnished,Marble,24 Hours Available,No/Rare Powercut
₹5.0 Cr,3,3Beds,3Baths,1Balcony,2 Covered Parking,1800,DLF Ltd.,DLF One Midtown,20 (Out of 40 Floors),New Property,,2.0,"Moti Nagar, Shivaji Marg, New Delhi, Moti Nagar, New Delhi - West, Delhi NCR",Furnished,Marble,24 Hours Available,No/Rare Powercut
₹3.0 Cr,2,2Beds,2Baths,,,1512,Godrej Properties,Godrej South Estate,,New Property,Under Construction,,"Okhla, New Delhi - South, Delhi NCR",Unfurnished,,24 Hours Available,No/Rare Powercut
₹4.99 Cr,3,3Beds,3Baths,3Balconies,2 Covered Parking,1678,TARC The Anant Raj Corporation,TARC Tripundra,3 (Out of 3 Floors),New Property,,3.0,"Bijwasan, New Delhi, Bijwasan, New Delhi - South, Delhi NCR",Semi-Furnished,"Ceramic Tiles, Granite, Marble, Marbonite, Mosaic, Normal Tiles/Kotah Stone, Vitrified, Wooden",24 Hours Available,No/Rare Powercut
